SITECODE,SDATE,FIELDNAME,VALUE,Year,Month
T01,17-Jan-96,ALUMINIUM,0.288,1996,1
T01,17-Jan-96,CALCIUM,5.17,1996,1
T01,17-Jan-96,CHLORIDE,7.9,1996,1
T01,17-Jan-96,CONDY,87,1996,1
T01,17-Jan-96,DOC,8.5,1996,1
T01,17-Jan-96,IRON,0.114,1996,1
T01,17-Jan-96,MAGNESIUM,2.45,1996,1
T01,17-Jan-96,NH4N,0.875,1996,1
T01,17-Jan-96,NO3N,0.72,1996,1
T01,17-Jan-96,PH,3.9,1996,1
T01,17-Jan-96,PO4P,0.133,1996,1
T01,17-Jan-96,POTASSIUM,4.07,1996,1
T01,17-Jan-96,SO4S,1.1,1996,1
T01,17-Jan-96,SODIUM,4.59,1996,1
T01,31-Jan-96,ALUMINIUM,0.315,1996,1
T01,31-Jan-96,CALCIUM,5.4,1996,1
T01,31-Jan-96,CHLORIDE,7.9,1996,1
T01,31-Jan-96,CONDY,87,1996,1
T01,31-Jan-96,DOC,7.3,1996,1
T01,31-Jan-96,IRON,0.11,1996,1
T01,31-Jan-96,MAGNESIUM,2.49,1996,1
T01,31-Jan-96,NH4N,0.857,1996,1
T01,31-Jan-96,NO3N,0.78,1996,1
T01,31-Jan-96,PH,4.1,1996,1
T01,31-Jan-96,PO4P,0.124,1996,1
T01,31-Jan-96,POTASSIUM,3.9,1996,1
T01,31-Jan-96,SO4S,1.8,1996,1
T01,31-Jan-96,SODIUM,4.04,1996,1
T01,31-Jan-96,TOTALN,0.55,1996,1
T01,14-Feb-96,ALUMINIUM,0.248,1996,2
T01,14-Feb-96,CALCIUM,4.69,1996,2
T01,14-Feb-96,CHLORIDE,9.5,1996,2
T01,14-Feb-96,CONDY,92,1996,2
T01,14-Feb-96,DOC,7.1,1996,2
T01,14-Feb-96,IRON,0.151,1996,2
T01,14-Feb-96,MAGNESIUM,2.27,1996,2
T01,14-Feb-96,NH4N,0.759,1996,2
T01,14-Feb-96,NO3N,0.81,1996,2
T01,14-Feb-96,PH,4,1996,2
T01,14-Feb-96,PO4P,0.2,1996,2
T01,14-Feb-96,POTASSIUM,4.04,1996,2
T01,14-Feb-96,SO4S,1.8,1996,2
T01,14-Feb-96,SODIUM,3.9,1996,2
T01,14-Feb-96,TOTALN,1.88,1996,2
T01,28-Feb-96,ALUMINIUM,0.265,1996,2
T01,28-Feb-96,CALCIUM,5.01,1996,2
T01,28-Feb-96,CHLORIDE,10.9,1996,2
T01,28-Feb-96,CONDY,87,1996,2
T01,28-Feb-96,DOC,4.3,1996,2
T01,28-Feb-96,IRON,0.153,1996,2
T01,28-Feb-96,MAGNESIUM,2.48,1996,2
T01,28-Feb-96,NH4N,0.898,1996,2
T01,28-Feb-96,NO3N,0.72,1996,2
